,Character,Song_fd,Song_log_fd,Yuan_fd,Yuan_log_fd,Ming_fd,Ming_log_fd,Qing_fd,Qing_log_fd,Subtlex_fd,Subtlex_log_fd
3334,凿,0.9483968801981508,-0.0230098833262369,1.10850042644922,0.04473586452719387,0.9190197049473777,-0.03667517668987657,0.9965653039475498,-0.0014942371393008103,0.05000583348158428,-1.30097932964227
3335,老,1.875327399871475,0.27307709902109795,1.568450842588863,0.19547091185942644,1.2833281130961778,0.10833770819808351,1.1571458278649909,0.06338809382316042,0.647316531277462,-0.18888330175558282
3336,讼,1.4667128747009441,0.16634510420619908,0.5249002995764018,-0.27992317936685446,0.8228035435085796,-0.08470384662861535,0.696039612119875,-0.15736604367170506,0.44888103062375373,-0.3478687471701862
3337,殒,1.5380664740107197,0.18697510573341128,1.6898305459667424,0.22784315630517654,1.988934004194882,0.2986203728230259,0.9791258526335642,-0.009161482260759362,0.03930241389987475,-1.4055807750393083
3338,鸯,0.3183128876648273,-0.49714577756368833,0.6781682890524376,-0.1686625215640103,0.6510213372687285,-0.18640477716727913,1.1168769784291235,0.048005339157018975,0.006578882326718168,-2.1818478815484004
3339,亡,1.1614864974557821,0.06501416539365333,1.1331774077394186,0.05429790736630295,0.9589068439583838,-0.018223581692668463,1.612096626118618,0.20739106906489696,0.6688203866143912,-0.17469049744225293
3340,呼,1.7704854078612284,0.24809235170330063,1.8722832643356155,0.27237155531626017,1.8949016243298908,0.2775866680667866,2.0937948736727447,0.32093413216820127,0.7343546863819653,-0.13409412927606632
3341,俯,1.8402640417916996,0.2648801402194005,2.1911917826604883,0.34068039057125293,2.0208129745719776,0.3055261215955221,2.011664183458932,0.3035554836188843,0.06611029782755592,-1.179730886333624
3342,恙,8.45936560705896,0.9273377952276552,9.092023046234106,0.9586605278931901,11.274603891779389,1.0521012928438946,24.621848866350003,1.391320661199107,0.8286258930556928,-0.08164149991111522
3343,镛,1.1258646589758472,0.05148618679180329,0.6788710541188132,-0.16821270849230954,1.3231980143107713,0.12162484047440113,2.2633882396400966,0.3547590550027328,0.007411312335404956,-2.1301048838477152
3344,皑,0.8420913945208692,-0.07464077075443266,0.9900202872566026,-0.004355905853639913,0.897009235891892,-0.047203085299013486,1.3985424492094343,0.14567565281525777,0.02779242125776858,-1.5560736161199964
3345,伎,1.2069911482490905,0.08170408510922034,0.7259920473829116,-0.13906813659554637,0.9581942395802597,-0.018546444337846798,0.8064846385466443,-0.09340390038656637,0.2533245176790959,-0.5963227755570529
3346,掘,0.8222739995672693,-0.08498344198331163,0.7304702276461588,-0.13639748025327297,0.4712243640707874,-0.32677226298336665,0.7913944893846488,-0.1016069781263104,0.9620453512304508,-0.01680445465148951
3347,筴,8.613172254460032,0.9351631327396118,4.040899131659602,0.6064780097818275,6.125916732920237,0.7871710893234701,4.501056158375191,0.6533144315388585,0.030880468064187313,-1.5103161255593212
3348,坂,0.508165099746679,-0.2939951651571676,0.7923331630705102,-0.10109216631610883,0.8305164422222394,-0.08065176514431054,0.6619200232904693,-0.17919448116737782,0.04117395741891641,-1.3853773889510212
3349,怯,1.3898024084979745,0.14295305996717195,1.019325907085305,0.008313062337389304,1.1250557500485427,0.051174043637202814,2.1781172658289214,0.3380812576656053,0.0503546371136748,-1.2979605294767942
3350,暹,1.34580816475938,0.12898315875572464,0.7071573480404304,-0.15048394153187797,1.0282788801687541,0.01211091591696845,1.7682720622188253,0.24754908535486436,0.42460643588257546,-0.3720134273930399
3351,伞,1.790748823312481,0.25303467445913114,0.8081798263319204,-0.09249199455419123,0.4313145454811188,-0.3652058956317693,1.3893566203147911,0.14281373483485132,1.694014248092561,0.22891705879395272
3352,庐,1.4419612024048327,0.1589535753569409,1.3804313803806096,0.1400148232442218,1.3582467375528917,0.13297867055134782,1.1889657660588238,0.07516935013947672,0.002071484814243621,-2.6837182461042213
3353,鸨,1.15354985550804,0.06203636912511138,3.2327193053276817,0.5095679967737712,1.7502619236914965,0.2431030449731946,1.7682720622188253,0.24754908535486436,0.5249679570911843,-0.2798672041810473
3354,曙,0.09166644606713827,-1.0377896060378344,0.2879837775135074,-0.540631975903266,0.47654559277422176,-0.32189554257438824,0.30980562194229666,-0.50891070550398,0.00480448938514332,-2.3183527617931987
3355,苣,0.67290408237969,-0.17204683690825656,0.7071573480404304,-0.15048394153187797,0.30629583664601184,-0.513858906340511,1.4467680509063114,0.16039890963596415,0.44776678693071603,-0.3489481233243463
3356,丁,1.3982422491006545,0.14558242057518633,2.503386291320827,0.3985278696820302,1.1650302206035192,0.06633719100248558,2.05662765551353,0.3131556714744102,0.49846963970572866,-0.3023612881242446
3357,妒,0.6559198281543475,-0.18314924037733535,0.8226763254589503,-0.08477100040922923,1.1207955278167967,0.04952638936518945,1.4705564642993898,0.16748170457437736,0.3943837356358989,-0.4040810036426632
3358,聂,0.4539171789153588,-0.34302338066987403,0.9264500448195185,-0.03317799333820926,0.7214494270825924,-0.1417941071328674,0.7763145639009476,-0.10996226626156513,0.052722750353490534,-1.2780019422648
3359,漕,12.683921522341736,1.1032535463068507,4.2564137520147804,0.6290438376805689,4.445665286176401,0.6479367615931326,1.7575552618417414,0.24490898918865595,0.004117395741891641,-2.3853773889510212
3360,荜,1.2448725524024264,0.0951248914947572,0.782924206759048,-0.10628027903982451,1.1267311133764006,0.05182028702244194,0.4722090166152545,-0.325865724523568,0.027020409556163895,-1.568308072537008
3361,胛,1.53806647401072,0.18697510573341136,2.1551462035517877,0.3334767377180899,0.4083944488613491,-0.38892016973221105,1.5003520527917302,0.17619317681919602,0.5352614464459133,-0.2714340366441846
3362,蔗,1.6121215264630877,0.2073977770987142,1.646292238824282,0.2165069307810652,2.1651388241220726,0.3354857476257716,2.8459058779144724,0.4542205326497708,0.15325861928152218,-0.814575091353501
3363,审,0.7548158158170255,-0.12215900854671996,0.6248112943070308,-0.20425112860116684,0.31622379293585856,-0.5000054565037308,0.5997805925325884,-0.22200759108127172,3.2619116266120542,0.5134721907341057
3364,抽,0.6812947371133394,-0.16666496589909296,0.7915163247580663,-0.10154012353158835,0.7404028962420041,-0.13053189108139646,0.6905154882141616,-0.16082657578121157,0.9387237817725118,-0.02746217951164359
