,Charcter,Frequency,log_frequency,Frequency_per_million,CD,Log_CD,Strokes,Tone,Rhyme
8964,溴,6,0.7781512503836436,0.116510454,6,0.7781512503836436,13.0,仄,去声二十六宥
8965,嫧,1,0.0,0.0194184089999999,1,0.0,14.0,仄,入声十一陌
8966,慥,31,1.4913616938342726,0.6019706770000001,19,1.2787536009528289,13.0,仄,去声二十号
8967,䥓,1,0.0,0.0194184089999999,1,0.0,19.0,,
8968,鋾,3,0.4771212547196624,0.058255227,3,0.4771212547196624,16.0,平,下平四豪
8969,鷤,27,1.4313637641589874,0.524297041,27,1.4313637641589874,23.0,平/仄,上平八齐 上平十四寒 去声八霁
8970,廒,28,1.4471580313422192,0.54371545,28,1.4471580313422192,13.0,平,下平四豪
8971,䏶,10,1.0,0.1941840889999999,10,1.0,11.0,仄,上声八荠
8972,墰,16,1.2041199826559248,0.310694543,15,1.1760912590556811,15.0,,
8973,瞷,38,1.57978359661681,0.73789954,38,1.57978359661681,17.0,平,上平十五删
8974,駊,46,1.662757831681574,0.8932468109999999,46,1.662757831681574,15.0,仄,上声二十哿
8975,騀,52,1.7160033436347992,1.009757265,52,1.7160033436347992,17.0,平/仄,下平五歌 上声二十哿
8976,硾,15,1.1760912590556811,0.2912761339999999,15,1.1760912590556811,13.0,仄,去声四寘
8977,㽬,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,18.0,仄,去声二十六宥
8978,甀,12,1.0791812460476249,0.233020907,12,1.0791812460476249,12.0,平/仄,上平四支 去声四寘
8979,榥,12,1.0791812460476249,0.233020907,12,1.0791812460476249,14.0,仄,上声二十二养
8980,俋,16,1.2041199826559248,0.310694543,8,0.9030899869919436,9.0,仄,入声十四缉
8981,倰,1,0.0,0.0194184089999999,1,0.0,10.0,平/仄,下平十蒸 去声二十五径
8982,䘧,1,0.0,0.0194184089999999,1,0.0,11.0,,
8983,鹣,247,2.392696953259666,4.796347009,171,2.2329961103921536,15.0,平,下平十四盐
8984, ,1,0.0,0.0194184089999999,1,0.0,,,
8985,嵥,3,0.4771212547196624,0.058255227,3,0.4771212547196624,13.0,仄,入声九屑
8986,薚,1,0.0,0.0194184089999999,1,0.0,16.0,平,下平七阳
8987,峉,13,1.1139433523068367,0.252439316,10,1.0,9.0,仄,入声十一陌
8988,埆,37,1.568201724066995,0.718481131,36,1.5563025007672873,10.0,仄,入声三觉
8989,嚗,21,1.3222192947339193,0.4077865879999999,13,1.1139433523068367,18.0,平/仄,下平三肴 去声二十号 入声三觉
8990,媞,24,1.380211241711606,0.466041815,13,1.1139433523068367,12.0,平/仄,上平八齐 上声八荠
8991,骗,14,1.146128035678238,0.271857725,14,1.146128035678238,12.0,仄,去声十七霰
8992,䁠,1,0.0,0.0194184089999999,1,0.0,15.0,平,下平十四盐
8993,炅,17,1.230448921378274,0.330112952,12,1.0791812460476249,8.0,仄,上声二十三梗 上声二十四迥 去声八霁
8994,鼹,28,1.4471580313422192,0.54371545,28,1.4471580313422192,23.0,仄,上声十三阮
8995,樔,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,15.0,平,下平三肴
8996,蟜,6,0.7781512503836436,0.116510454,6,0.7781512503836436,18.0,仄,上声十七筱
8997,臥,1,0.0,0.0194184089999999,1,0.0,8.0,,
8998,䭔,18,1.2552725051033058,0.349531361,18,1.2552725051033058,19.0,平,上平十灰
8999,䭃,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,17.0,仄,上声二十六寝
9000,鳸,7,0.8450980400142568,0.135928863,7,0.8450980400142568,15.0,仄,上声七麌
9001,㟼,4,0.6020599913279624,0.0776736359999999,4,0.6020599913279624,14.0,仄,去声二十号
9002,毐,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,7.0,平/仄,上平十灰 上声十贿
9003,蹳,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,19.0,仄,入声七曷
9004,䱜,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,19.0,仄,入声十药
9005,甤,22,1.3424226808222062,0.427204997,22,1.3424226808222062,12.0,平/仄,上平四支 上声四纸
9006,磓,17,1.230448921378274,0.330112952,17,1.230448921378274,14.0,平,上平十灰
9007,桯,10,1.0,0.1941840889999999,10,1.0,11.0,平,下平九青
9008,噇,73,1.863322860120456,1.4175438530000002,62,1.792391689498254,15.0,平,上平三江
9009,騼,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,21.0,仄,入声一屋
9010,箊,16,1.2041199826559248,0.310694543,16,1.2041199826559248,14.0,平,上平六鱼
9011,鈌,6,0.7781512503836436,0.116510454,5,0.6989700043360189,12.0,仄,去声八霁 入声九屑
9012,棍,5,0.6989700043360189,0.097092045,4,0.6020599913279624,12.0,仄,上声十三阮
9013,萐,18,1.2552725051033058,0.349531361,18,1.2552725051033058,11.0,仄,入声十五合 入声十六叶
9014,簝,9,0.9542425094393248,0.17476568,9,0.9542425094393248,18.0,平/仄,下平二萧 下平四豪 上声十九皓
9015,瀯,1,0.0,0.0194184089999999,1,0.0,19.0,平,下平八庚
9016,胘,1,0.0,0.0194184089999999,1,0.0,9.0,平,下平一先
9017,貜,3,0.4771212547196624,0.058255227,2,0.3010299956639812,27.0,仄,入声十药
9018,䴊,4,0.6020599913279624,0.0776736359999999,4,0.6020599913279624,24.0,平,上平四支
9019,嵡,1,0.0,0.0194184089999999,1,0.0,13.0,平/仄,上平一东 上声一董
9020,艄,12,1.0791812460476249,0.233020907,12,1.0791812460476249,13.0,平/仄,下平三肴 去声十九效
9021,蠀,6,0.7781512503836436,0.116510454,6,0.7781512503836436,19.0,平,上平四支
9022,兟,12,1.0791812460476249,0.233020907,6,0.7781512503836436,12.0,平,上平十一真
9023,肶,1,0.0,0.0194184089999999,1,0.0,8.0,平/仄,上平四支 上平八齐 上声八荠 去声四寘
9024,羉,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,24.0,平,上平十四寒
9025,蕬,1,0.0,0.0194184089999999,1,0.0,15.0,平,上平四支
9026,痟,48,1.6812412373755872,0.932083629,48,1.6812412373755872,12.0,平,下平二萧
9027,䦱,10,1.0,0.1941840889999999,10,1.0,20.0,平,上平九佳
9028,傈,1,0.0,0.0194184089999999,1,0.0,12.0,仄,入声四质
9029,喀,19,1.2787536009528289,0.36894977,13,1.1139433523068367,12.0,仄,入声十一陌
9030,霿,43,1.6334684555795864,0.834991585,41,1.6127838567197357,21.0,仄,去声一送
9031,棇,1,0.0,0.0194184089999999,1,0.0,12.0,平/仄,上平一东 上声一董 去声一送
9032,麖,23,1.3617278360175928,0.446623406,23,1.3617278360175928,19.0,平,下平八庚
9033,氵,20,1.3010299956639813,0.388368179,18,1.2552725051033058,3.0,,
9034,溁,17,1.230448921378274,0.330112952,16,1.2041199826559248,12.0,平,下平八庚
9035,瑨,10,1.0,0.1941840889999999,10,1.0,14.0,仄,去声十二震
9036,棙,34,1.5314789170422551,0.660225904,34,1.5314789170422551,12.0,仄,去声八霁 入声九屑
9037,棆,3,0.4771212547196624,0.058255227,3,0.4771212547196624,12.0,平,上平十一真
9038,贙,22,1.3424226808222062,0.427204997,22,1.3424226808222062,23.0,仄,上声十六铣 去声十七霰
9039,鈚,6,0.7781512503836436,0.116510454,6,0.7781512503836436,12.0,平,上平四支
