Character,Tang&Song,Tang&Yuan,Tang&Ming,Tang&Qing,Tang&Subtlex
恸,0.02249434031546116,0.054644323885440826,0.0536203607916832,-0.07927027344703674,0.07531390339136124
门,0.06967314332723618,0.09590009599924088,0.061439745128154755,0.046123240143060684,0.052687738090753555
展,-0.053043365478515625,-0.06910812854766846,0.0207358468323946,0.06212133914232254,0.030923370271921158
答,0.01440995093435049,0.08878400921821594,-0.020794691517949104,-0.03182306885719299,-0.0917944461107254
诉,0.06485698372125626,0.06295818835496902,0.0816497653722763,0.015972454100847244,0.05233898386359215
铎,-0.08693159371614456,-0.024461518973112106,0.00519545329734683,0.09068751335144043,-0.03957640379667282
螂,0.11148003488779068,0.25635841488838196,0.09607424587011337,0.126503586769104,-0.048791028559207916
迤,-0.07041589915752411,0.005637628026306629,0.03183909133076668,0.13446632027626038,0.0
桠,0.0,0.0,0.0,0.0,0.0
升,-0.08017659932374954,0.06174955889582634,0.0669381320476532,-0.018412193283438683,0.06244143471121788
勿,0.04911833629012108,0.14087232947349548,0.01928369514644146,0.028808988630771637,0.01459487434476614
蝴,-0.021956026554107666,0.05686508119106293,-0.07513938099145889,0.12504008412361145,0.12881673872470856
缜,-0.01450438518077135,0.0,0.023049626499414444,0.011270157061517239,0.25612014532089233
砧,0.0861763134598732,0.07679159194231033,0.04485973343253136,0.10970703512430191,0.037780649960041046
箱,0.01948501542210579,0.040388792753219604,0.11322084814310074,-0.00134164874907583,0.052265651524066925
鹏,0.055999334901571274,0.03168272599577904,0.04213983938097954,0.02476080134510994,0.005377703346312046
研,-0.065129853785038,0.12079279869794846,-0.029243778437376022,0.06782824546098709,0.06377226859331131
狎,0.05814742296934128,0.06406649202108383,0.14690543711185455,0.05009631812572479,0.0
泣,0.02444329671561718,0.14538797736167908,0.045492399483919144,-0.06210050731897354,0.060621228069067
灿,0.0358254611492157,0.01273118145763874,-0.010550732724368572,0.20566266775131226,0.0515582300722599
掬,0.030172713100910187,0.0217931866645813,-0.0050963591784238815,0.037129562348127365,0.16888496279716492
俞,-0.006117823999375105,0.13101647794246674,0.023935332894325256,0.09261217713356018,-0.0003263348189648241
蜉,0.07837284356355667,0.20648950338363647,0.018848655745387077,0.10558854788541794,0.01961684226989746
革,-0.0017987575847655535,0.10559534281492233,0.0008320376509800553,0.0457787849009037,0.11984387040138245
妍,-0.006158213596791029,0.0869029089808464,-0.036135315895080566,0.13308551907539368,-0.03856263682246208
嵘,0.002330587711185217,0.06858427822589874,0.046139054000377655,0.008134269155561924,0.0
鬓,0.03052177093923092,0.014812607318162918,-0.013386872597038746,0.07113926112651825,0.07584253698587418
岘,-0.06991954147815704,0.08853627741336823,-0.039086684584617615,0.0710320845246315,0.13185687363147736
邻,0.0586061030626297,0.09173122048377991,0.01650938019156456,0.029678815975785255,-0.011099993251264095
讥,0.09417366236448288,0.10558410733938217,0.1443566381931305,0.0015408525941893458,0.1088588759303093
颗,0.03759027272462845,0.12752820551395416,0.024228598922491074,0.06288108974695206,0.13915428519248962
娱,0.033049650490283966,0.11410495638847351,-0.015517556108534336,0.06731241941452026,-0.019116315990686417
畿,-0.045418303459882736,-0.03655208274722099,0.1064213216304779,-0.028663598001003265,0.032298002392053604
草,-0.03709320351481438,0.06599792838096619,0.021695686504244804,0.0058751399628818035,-0.03540324047207832
孰,-0.07900995761156082,0.08812092989683151,0.020687805488705635,0.08571187406778336,0.07831926643848419
宋,-0.03140193969011307,0.01971578225493431,-0.0018771144095808268,-0.06750991195440292,0.05854325369000435
